C1,C2,R
0.0022264,1.8152,0.56202
0.0029874,1.9137,0.23825
0.0023837,1.2755,0.063778
0.0016652,0.69213,0.15358
0.0023096,0.57868,0.86021
0.0045833,0.60143,1.0333
0.0092469,0.58489,1.0377
0.018717,0.50594,1.0537
0.038173,0.37065,1.0838
0.078595,0.22272,1.1135
0.16278,0.11683,1.121
0.33607,0.062998,1.0879
0.6809,0.039315,0.98785
1.3018,0.028369,0.7472
1.9277,0.019748,0.20087
1.147,0.0075668,0.0041985
0.55088,0.0027201,0.0039098
0.28442,0.0011264,0.049903
0.31084,0.00090314,0.77826
0.61406,0.0012136,1.0145
1.191,0.0016559,0.80999
1.9135,0.0019863,0.31329
1.2982,0.0012173,0.0064024
0.60964,0.0005695,0.0032719
0.29132,0.00027878,0.034559
0.26447,0.0002329,0.68413
0.48534,0.00034189,1.0506
0.90279,0.00050804,0.91887
1.5231,0.00070609,0.61924
1.6949,0.00072986,0.1139
0.69081,0.00040622,0.0205
0.17649,0.00025837,0.28856
0.087314,0.00035403,1.1373
0.062009,0.00055118,1.1797
0.058237,0.00086053,1.1822
0.06888,0.0013437,1.1797
0.095933,0.0020963,1.1723
0.14846,0.0032634,1.1575
0.24387,0.0050583,1.1298
0.40918,0.007775,1.0793
0.67404,0.011756,0.98973
1.0308,0.017204,0.84033
1.3166,0.02359,0.63466
1.1296,0.029584,0.53597
0.39125,0.039419,0.91178
0.021035,0.060157,1.1677
0.0019929,0.093889,1.1779
0.00061258,0.14641,1.1669
0.00039842,0.22761,1.1482
0.00040759,0.35203,1.1185
0.0005453,0.53987,1.0713
0.00084848,0.816,0.99589
0.0014153,1.2011,0.87363
0.0023481,1.6749,0.67102
0.0033885,2.0267,0.33645
0.0028745,1.574,0.04886
0.0015724,0.85096,0.029444
0.0010717,0.54475,0.21217
0.0016679,0.67239,0.92874
0.0032717,0.99626,0.93699
0.0061984,1.4333,0.78255
0.010575,1.8944,0.51727
0.012919,1.9155,0.14204
0.008195,1.1458,0.025102
0.0046847,0.63039,0.066196
0.0049103,0.56314,0.62991
0.00938,0.81316,0.97535
0.018283,1.1932,0.86859
0.033291,1.6577,0.66097
0.050212,1.9804,0.31522
0.042201,1.4806,0.04202
0.023318,0.78978,0.029631
0.016489,0.51153,0.23709
0.02666,0.64105,0.94583
0.05264,0.9425,0.93581
0.099854,1.3411,0.77452
0.16893,1.7382,0.4918
0.19474,1.6497,0.11023
0.11711,0.91568,0.023123
0.068849,0.48293,0.090406
0.083572,0.44218,0.78403
0.16416,0.59217,0.99215
0.32145,0.78794,0.8799
0.58777,0.98034,0.6639
0.87337,1.0029,0.2824
0.67651,0.55698,0.033044
0.37915,0.19688,0.04757
0.34904,0.092558,0.51189
0.64934,0.080767,0.95725
1.2387,0.078452,0.75297
1.871,0.068042,0.22792
1.1564,0.030494,0.005072
0.55755,0.01184,0.0041931
0.2893,0.0051523,0.050339
0.31656,0.0042583,0.77146
0.62622,0.0058413,1.009
1.2148,0.0080731,0.79764
1.9259,0.0096499,0.28474
1.2656,0.005766,0.0053984
0.60811,0.0027048,0.0029811
0.30454,0.0013202,0.029814
0.28044,0.0010541,0.6126
0.54331,0.0015308,1.0304
1.0687,0.0022552,0.86054
1.8256,0.0029731,0.42573
1.4689,0.0021506,0.011232
0.70397,0.0010342,0.0025974
0.33782,0.00050354,0.017712
0.25214,0.00035249,0.42451
0.45278,0.00049814,1.0452
0.8758,0.00074623,0.93134
1.5498,0.0010447,0.61907
1.7592,0.001041,0.07611
0.79537,0.00053895,0.0066757
0.26742,0.00027478,0.048569
0.15609,0.00025998,0.86285
0.17293,0.00039663,1.1441
0.21018,0.00061444,1.1369
0.26674,0.00094915,1.1197
0.34124,0.0014594,1.0955
0.42176,0.0022302,1.067
0.47563,0.0033857,1.0433
0.44948,0.0051228,1.0436
0.31463,0.0077887,1.0832
0.1528,0.011986,1.1392
0.067828,0.01863,1.1711
0.040395,0.029075,1.1801
0.034859,0.045407,1.1792
0.040165,0.070855,1.1724
0.056259,0.11034,1.1591
0.089077,0.17117,1.1356
0.15123,0.26373,1.0948
0.26423,0.40117,1.0231
0.45615,0.59484,0.8947
0.73004,0.83172,0.65991
0.89752,0.96906,0.25876
0.49421,0.66695,0.037198
0.1591,0.38648,0.097642
0.093761,0.39714,0.81644
0.1009,0.59064,1.0145
0.12465,0.87873,0.92745
0.1619,1.2596,0.77104
0.20025,1.6562,0.50848
0.18209,1.6712,0.14649
0.088388,1.0232,0.032002
0.0414,0.59201,0.095448
0.040788,0.58594,0.72713
0.069303,0.85308,0.9469
0.12168,1.2354,0.8072
0.19788,1.6531,0.54144
0.23299,1.6958,0.14236
0.13667,0.99797,0.020288
0.071018,0.53266,0.051244
0.065411,0.44528,0.56296
0.11973,0.63802,0.98417
0.22863,0.93907,0.87189
0.40559,1.2987,0.62608
0.54859,1.4458,0.19531
0.34586,0.87942,0.015509
0.17121,0.44556,0.023627
0.1193,0.29749,0.30132
0.19846,0.39607,0.99134
0.38209,0.58923,0.92746
0.69342,0.83455,0.69713
0.99584,0.98317,0.24611
0.63672,0.6176,0.013264
0.28519,0.30629,0.015449
0.15771,0.18712,0.21848
0.22002,0.23815,1.0056
0.38658,0.35771,0.99225
