aNO,aNP,BrainSum
1.0267,0.92262,1.03E+10
1.1088,0.9579,1.03E+10
1.0962,0.93418,1.03E+10
1.0831,0.91351,1.03E+10
1.0729,0.93408,1.03E+10
1.0651,0.9577,1.03E+10
0.99736,0.92262,1.03E+10
0.93841,0.95859,1.03E+10
0.8876,0.94408,1.03E+10
0.82851,0.94232,1.03E+10
0.84774,0.93507,1.03E+10
0.8563,0.94614,1.03E+10
0.82697,0.92683,1.03E+10
0.84465,0.90116,1.03E+10
0.84437,0.94398,1.02E+10
0.82963,0.9381,1.02E+10
0.82009,0.91508,1.02E+10
0.80269,0.94624,1.02E+10
0.87707,0.90596,1.02E+10
0.93462,0.91635,1.02E+10
1.009,0.92144,1.02E+10
0.97799,0.92987,1.02E+10
1.0702,0.9043,1.02E+10
0.94781,0.92977,1.02E+10
0.95357,0.92517,1.02E+10
0.88522,0.90831,1.02E+10
0.84367,0.90772,1.02E+10
0.88606,0.91341,1.02E+10
0.89434,0.909,1.01E+10
0.92578,0.91174,1.02E+10
1.0163,0.92125,1.02E+10
1.0797,0.88813,1.02E+10
0.94683,0.90194,1.01E+10
0.93139,0.90028,1.01E+10
0.94529,0.88185,1.01E+10
0.87722,0.87205,1.01E+10
0.84985,0.85775,1.01E+10
0.82402,0.9579,1.01E+10
0.88592,0.96878,1.01E+10
0.94936,0.92948,1.01E+10
0.96873,0.91547,1.01E+10
0.96452,0.88705,1.03E+10
1.064,0.9336,1.03E+10
0.98781,0.89636,1.03E+10
0.94992,0.93075,1.02E+10
1.0253,0.91106,1.02E+10
0.97939,0.92586,1.02E+10
0.90051,0.88548,1.02E+10
0.90206,0.90949,1.01E+10
0.85967,0.89205,1.01E+10
0.90079,0.90782,1.01E+10
0.97041,0.88597,1.01E+10
0.93813,0.89969,1.01E+10
1.0564,0.87127,1.01E+10
1.0371,0.92821,1.01E+10
1.1259,0.91076,1.01E+10
1.0744,0.90351,1.00E+10
0.98234,0.89156,1.00E+10
0.97209,0.88744,1.00E+10
0.95539,0.8846,1.00E+10
0.97631,0.90577,1.00E+10
1.05,0.87431,1.00E+10
1.0169,0.90028,1.00E+10
1.0138,0.91762,1.00E+10
1.0531,0.91978,1.00E+10
0.9916,0.91958,1.00E+10
0.9509,0.89597,1.00E+10
0.85602,0.93585,1.00E+10
0.87188,0.92017,1.00E+10
0.84493,0.91027,1.00E+10
0.81223,0.95966,1.00E+10
0.80956,0.92468,1.00E+10
0.82739,0.93948,1.00E+10
0.80381,0.9043,1.00E+10
0.80942,0.90106,1.00E+10
0.84746,0.89675,1.00E+10
0.89841,0.89224,1.01E+10
0.90094,0.89283,1.04E+10
0.99174,0.8945,1.06E+10
1.047,0.86725,1.06E+10
1.0879,0.89881,1.05E+10
1.1759,0.96015,1.04E+10
1.2097,0.95643,1.03E+10
1.2433,0.91733,1.03E+10
1.2782,0.93399,1.02E+10
1.3866,0.943,1.02E+10
1.2917,0.91018,1.01E+10
1.3781,0.8698,1.01E+10
1.368,0.8892,1.01E+10
1.4929,0.88872,1.01E+10
1.4925,0.87705,1.01E+10
1.5685,0.88969,1.01E+10
1.5061,0.88881,1.01E+10
1.4701,0.88617,1.01E+10
1.3828,0.92164,1.01E+10
1.164,0.91037,1.00E+10
1.0774,0.89646,1.00E+10
1.0002,0.91341,1.00E+10
0.91609,0.93859,1.00E+10
0.86557,0.95947,1.00E+10
0.92929,1.0121,1.00E+10
0.93195,1.0379,1.00E+10
0.98711,0.99592,1.00E+10
1.0208,1.0123,1.00E+10
1.0972,0.91125,9.98E+09
1.1049,0.90439,9.98E+09
1.2174,0.93595,9.98E+09
1.2348,0.88166,9.98E+09
1.1683,0.93683,9.96E+09
1.2986,0.88734,9.95E+09
1.2378,0.90919,9.95E+09
1.1207,0.90204,9.95E+09
1.0254,0.89116,9.95E+09
0.95848,0.8405,9.94E+09
0.90739,0.88744,9.94E+09
0.90908,0.93026,9.94E+09
0.88578,1.0083,9.94E+09
0.8775,0.98818,9.93E+09
0.97546,0.94339,9.94E+09
0.92536,0.92125,9.93E+09
0.96494,0.92056,9.93E+09
0.92241,0.91165,9.92E+09
0.88536,0.87255,9.93E+09
0.87918,0.90273,9.92E+09
0.84971,0.90733,9.91E+09
0.88115,0.87813,9.92E+09
0.84353,0.87637,9.91E+09
0.84957,0.87304,9.91E+09
0.85083,0.96603,9.91E+09
0.89125,0.95555,9.91E+09
0.90823,0.94095,9.91E+09
0.91006,0.92987,9.90E+09
0.93574,0.95378,9.89E+09
0.92339,0.94545,9.90E+09
0.95399,0.92086,9.89E+09
0.98445,0.93889,9.89E+09
0.9836,0.95417,9.89E+09
1.0616,0.98367,9.88E+09
0.96367,1.0072,9.88E+09
0.95525,1.1518,9.89E+09
0.94627,1.2972,9.89E+09
0.86093,1.5065,9.88E+09
0.85953,1.9053,9.88E+09
0.83932,1.8716,9.88E+09
0.85335,1.9909,9.88E+09
0.8702,2.1942,9.88E+09
0.87314,2.6533,9.88E+09
0.92353,2.4942,9.88E+09
1.0086,2.5151,9.88E+09
1.0643,2.4404,9.87E+09
1.1042,2.1975,9.87E+09
1.1112,2.0651,9.88E+09
1.1258,1.8747,9.88E+09
1.2435,1.63,9.89E+09
1.2135,1.6293,9.88E+09
1.1315,1.393,9.87E+09
1.0826,1.3644,9.88E+09
0.95483,1.2629,9.87E+09
0.88409,1.2122,9.88E+09
0.8956,1.1372,9.89E+09
0.86486,1.0808,9.89E+09
0.82107,1.0855,9.89E+09
0.8309,1.038,9.88E+09
0.88718,0.9921,9.87E+09
0.85153,1.0103,9.88E+09
0.93069,0.97848,9.88E+09
0.96199,0.94496,9.88E+09
0.97378,0.9627,9.89E+09
1.1307,0.94428,9.89E+09
1.0671,0.92595,9.90E+09
1.1074,0.97015,9.89E+09
1.0869,0.90959,9.91E+09
1.0202,0.91449,9.91E+09
0.98052,0.91713,1.02E+10
0.88115,0.90929,1.03E+10
0.86009,0.91096,1.02E+10
0.87988,0.87882,1.02E+10
0.93013,0.88254,1.01E+10
1.1036,0.8892,1.01E+10
1.0852,0.89822,1.01E+10
1.0925,0.8845,1.00E+10
1.1169,0.89067,1.00E+10
