X,Y,Z
3.3592,3.1215,21.502
3.3636,3.6291,20.389
3.4892,4.2247,19.398
3.7304,4.9247,18.545
4.0871,5.7488,17.853
4.5634,6.7174,17.353
5.1669,7.8468,17.089
5.906,9.1431,17.124
6.7864,10.591,17.535
7.8053,12.139,18.412
8.943,13.679,19.845
10.152,15.028,21.891
11.346,15.934,24.525
12.397,16.111,27.574
13.149,15.344,30.691
13.451,13.611,33.404
13.213,11.154,35.266
12.443,8.4183,36.037
11.252,5.8717,35.757
9.8159,3.8315,34.677
8.3167,2.4073,33.116
6.9013,1.5491,31.337
5.6625,1.132,29.515
4.6432,1.0219,27.742
3.8494,1.1098,26.061
3.2659,1.3201,24.483
2.8675,1.6076,23.011
2.6274,1.951,21.645
2.5223,2.3456,20.382
2.5341,2.7982,19.224
2.6516,3.3237,18.175
2.8696,3.9422,17.245
3.1892,4.6785,16.448
3.6173,5.5599,15.808
4.1651,6.615,15.36
4.8476,7.8688,15.158
5.681,9.3362,15.275
6.6786,11.008,15.81
7.844,12.828,16.886
9.1596,14.666,18.631
10.571,16.288,21.137
11.972,17.349,24.387
13.195,17.456,28.152
14.03,16.316,31.946
14.282,13.941,35.112
13.847,10.735,37.073
12.766,7.3542,37.599
11.217,4.4043,36.87
9.4426,2.2138,35.307
7.6689,0.81542,33.333
6.0563,0.064094,31.25
4.6896,-0.23671,29.22
3.5934,-0.26059,27.31
2.7536,-0.13321,25.532
2.1372,0.066097,23.883
1.705,0.29353,22.351
1.4199,0.52951,20.925
1.2505,0.76977,19.596
1.1727,1.0192,18.358
1.1692,1.2883,17.207
1.2297,1.591,16.139
1.3492,1.9441,15.153
1.5281,2.3676,14.25
1.7714,2.8847,13.436
2.0887,3.5233,12.719
2.4942,4.3164,12.115
3.0069,5.3022,11.653
3.6506,6.5237,11.377
4.4535,8.0241,11.355
5.4462,9.8371,11.691
6.6573,11.967,12.532
8.1029,14.35,14.076
9.7687,16.801,16.544
11.582,18.944,20.116
13.377,20.195,24.773
14.884,19.882,30.097
15.762,17.589,35.185
15.727,13.555,38.912
14.694,8.7285,40.527
12.844,4.264,40.068
10.536,0.90905,38.196
8.143,-1.1898,35.686
5.9381,-2.2756,33.083
4.0633,-2.6998,30.647
2.5556,-2.7633,28.453
1.388,-2.6734,26.49
0.50342,-2.5557,24.723
-0.16328,-2.4793,23.12
-0.67398,-2.4794,21.654
-1.0823,-2.573,20.312
-1.4327,-2.7693,19.083
-1.7616,-3.076,17.966
-2.0992,-3.5032,16.96
-2.4719,-4.0652,16.076
-2.9037,-4.781,15.326
-3.4185,-5.6749,14.737
-4.0401,-6.7734,14.347
-4.7933,-8.1016,14.215
-5.7017,-9.6736,14.426
-6.7841,-11.477,15.093
-8.0468,-13.443,16.357
-9.4699,-15.417,18.367
-10.99,-17.116,21.226
-12.479,-18.13,24.893
-13.739,-18.007,29.067
-14.531,-16.452,33.141
-14.644,-13.565,36.348
-13.991,-9.9095,38.094
-12.662,-6.2662,38.245
-10.885,-3.263,37.123
-8.9404,-1.1626,35.246
-7.0618,0.089397,33.068
-5.3999,0.70124,30.871
-4.0217,0.8994,28.787
-2.9342,0.8648,26.855
-2.1093,0.7199,25.075
-1.5042,0.53801,23.43
-1.0735,0.3578,21.905
-0.77594,0.19594,20.486
-0.57743,0.056382,19.163
-0.45137,-0.063638,17.927
-0.37805,-0.17001,16.772
-0.34358,-0.26981,15.692
-0.33877,-0.37044,14.683
-0.3581,-0.47939,13.74
-0.39897,-0.60449,12.858
-0.46114,-0.75423,12.036
-0.54646,-0.9384,11.27
-0.65872,-1.1687,10.559
-0.80379,-1.4598,9.9009
-0.9899,-1.83,9.2979
-1.2281,-2.3028,8.7536
-1.5327,-2.9079,8.2758
-1.9227,-3.683,7.8794
-2.4219,-4.6753,7.5903
-3.0606,-5.9412,7.4518
-3.8757,-7.5447,7.5357
-4.9103,-9.549,7.9563
-6.2099,-11.995,8.8906
-7.8125,-14.856,10.595
-9.7263,-17.956,13.4
-11.891,-20.854,17.635
-14.12,-22.75,23.417
-16.059,-22.603,30.288
-17.221,-19.661,36.97
-17.169,-14.225,41.733
-15.778,-7.7954,43.459
-13.334,-2.1434,42.386
-10.373,1.767,39.678
-7.4086,3.9505,36.49
-4.7685,4.9073,33.483
-2.5893,5.1693,30.879
-0.87547,5.1222,28.677
0.43703,4.9995,26.805
1.4363,4.9274,25.192
2.2108,4.9683,23.787
2.839,5.1504,22.563
3.3859,5.4848,21.509
3.9039,5.9759,20.627
4.4341,6.6255,19.931
5.009,7.4328,19.448
5.653,8.3925,19.214
6.383,9.4887,19.276
7.2066,10.686,19.692
8.1186,11.92,20.52
9.0961,13.084,21.806
10.092,14.025,23.556
11.033,14.561,25.705
11.82,14.511,28.087
12.343,13.767,30.432
12.506,12.358,32.417
12.263,10.473,33.761
11.629,8.4098,34.318
10.689,6.4707,34.11
9.5643,4.8722,33.293
