X,Y,Z
1,1,0
0.9349,1.0735,0.010855
0.86472,1.1437,0.018866
0.78983,1.2102,0.024707
0.7106,1.2727,0.028897
0.62736,1.3308,0.031834
0.54048,1.3844,0.033826
0.45029,1.433,0.035106
0.35716,1.4765,0.035855
0.26143,1.5147,0.03621
0.16348,1.5472,0.036277
0.06368,1.5739,0.036133
-0.037598,1.5946,0.035841
-0.13996,1.6091,0.035444
-0.24302,1.6174,0.034978
-0.34637,1.6193,0.034468
-0.44961,1.6148,0.033933
-0.55234,1.6037,0.033388
-0.65413,1.586,0.032842
-0.75459,1.5617,0.032304
-0.85329,1.5309,0.03178
-0.94984,1.4935,0.031272
-1.0438,1.4497,0.030785
-1.1348,1.3995,0.030321
-1.2225,1.343,0.02988
-1.3064,1.2805,0.029465
-1.3862,1.212,0.029075
-1.4616,1.1377,0.02871
-1.5321,1.0579,0.028372
-1.5974,0.97288,0.028061
-1.6572,0.88281,0.027775
-1.7113,0.78802,0.027516
-1.7592,0.68883,0.027283
-1.8009,0.58557,0.027076
-1.8359,0.47858,0.026896
-1.8642,0.36826,0.02674
-1.8854,0.25498,0.026611
-1.8995,0.13917,0.026508
-1.9063,0.021227,0.02643
-1.9056,-0.098394,0.026378
-1.8974,-0.21925,0.026352
-1.8817,-0.34088,0.026352
-1.8583,-0.46282,0.026377
-1.8273,-0.58458,0.02643
-1.7888,-0.7057,0.026509
-1.7427,-0.82569,0.026615
-1.6891,-0.94406,0.026748
-1.6282,-1.0603,0.026909
-1.5602,-1.174,0.027098
-1.4851,-1.2846,0.027316
-1.4033,-1.3917,0.027564
-1.3149,-1.4948,0.027841
-1.2202,-1.5934,0.02815
-1.1195,-1.6871,0.02849
-1.0131,-1.7755,0.028863
-0.90141,-1.8582,0.02927
-0.78476,-1.9347,0.02971
-0.66355,-2.0047,0.030186
-0.5382,-2.0678,0.030698
-0.40916,-2.1237,0.031248
-0.27688,-2.1721,0.031835
-0.14186,-2.2128,0.032462
-0.0045767,-2.2453,0.03313
0.13445,-2.2696,0.033838
0.27468,-2.2854,0.034588
0.4156,-2.2926,0.035381
0.55665,-2.291,0.036216
0.69727,-2.2805,0.037095
0.83691,-2.2611,0.038018
0.97501,-2.2326,0.038984
1.111,-2.1952,0.039992
1.2443,-2.1489,0.041042
1.3744,-2.0937,0.042131
1.5007,-2.0297,0.043259
1.6226,-1.9571,0.044422
1.7397,-1.8761,0.045616
1.8514,-1.7869,0.046838
1.9572,-1.6897,0.048081
2.0566,-1.5848,0.04934
2.1492,-1.4725,0.050608
2.2344,-1.3533,0.051875
2.3119,-1.2274,0.053132
2.3813,-1.0953,0.054369
2.4421,-0.9574,0.055574
2.4941,-0.81424,0.056734
2.537,-0.66629,0.057836
2.5703,-0.51407,0.058864
2.594,-0.35814,0.059805
2.6078,-0.19905,0.060643
2.6116,-0.037403,0.061363
2.6051,0.1262,0.061952
2.5883,0.29114,0.062396
2.5611,0.45678,0.062683
2.5236,0.62248,0.062803
2.4758,0.78759,0.06275
2.4176,0.95146,0.062517
2.3493,1.1134,0.062104
2.271,1.2728,0.061512
2.1829,1.429,0.060746
2.0851,1.5813,0.059813
1.9781,1.7291,0.058727
1.862,1.8717,0.0575
1.7373,2.0086,0.056151
1.6043,2.139,0.054696
1.4634,2.2626,0.053157
1.3152,2.3786,0.051554
1.16,2.4865,0.049908
0.99849,2.5858,0.048239
0.83112,2.676,0.046565
0.65851,2.7567,0.044904
0.48126,2.8274,0.043271
0.3,2.8877,0.041679
0.1154,2.9372,0.040139
-0.071867,2.9757,0.03866
-0.26111,3.0028,0.037247
-0.4516,3.0184,0.035905
-0.64263,3.0221,0.034636
-0.83345,3.0139,0.033442
-1.0233,2.9936,0.032322
-1.2115,2.9611,0.031275
-1.3972,2.9165,0.0303
-1.5797,2.8597,0.029392
-1.7582,2.7909,0.028551
-1.932,2.7101,0.027772
-2.1003,2.6175,0.027054
-2.2625,2.5134,0.026392
-2.4177,2.3979,0.025783
-2.5654,2.2715,0.025226
-2.7048,2.1345,0.024718
-2.8353,1.9872,0.024256
-2.9563,1.8301,0.023837
-3.0671,1.6638,0.023461
-3.1673,1.4888,0.023125
-3.2563,1.3055,0.022828
-3.3335,1.1148,0.022567
-3.3986,0.91713,0.022343
-3.4511,0.71328,0.022154
-3.4908,0.50396,0.022
-3.5171,0.28992,0.021879
-3.53,0.071939,0.021791
-3.5292,-0.14918,0.021736
-3.5144,-0.37259,0.021714
-3.4857,-0.59747,0.021725
-3.4428,-0.82293,0.021769
-3.3859,-1.0481,0.021846
-3.3149,-1.2721,0.021957
-3.23,-1.494,0.022103
-3.1314,-1.713,0.022284
-3.0191,-1.9281,0.022502
-2.8936,-2.1384,0.022759
-2.7551,-2.3431,0.023054
-2.6041,-2.5413,0.023392
-2.4409,-2.7321,0.023773
-2.266,-2.9146,0.0242
-2.0801,-3.0881,0.024675
-1.8836,-3.2518,0.025202
-1.6772,-3.4049,0.025784
-1.4617,-3.5467,0.026425
-1.2377,-3.6764,0.027128
-1.006,-3.7934,0.027899
-0.76746,-3.8971,0.028742
-0.5229,-3.987,0.029663
-0.27323,-4.0624,0.030668
-0.019365,-4.1229,0.031764
0.23775,-4.1682,0.032959
0.49714,-4.1977,0.03426
0.75781,-4.2113,0.035677
1.0187,-4.2086,0.03722
1.2789,-4.1895,0.038898
1.5373,-4.1539,0.040723
1.7928,-4.1017,0.042708
2.0444,-4.0328,0.044864
2.2911,-3.9474,0.047207
2.5317,-3.8456,0.049748
2.7654,-3.7276,0.052504
2.991,-3.5936,0.055487
3.2076,-3.4441,0.058712
3.4141,-3.2794,0.062192
3.6097,-3.0999,0.065938
3.7934,-2.9062,0.069958
3.9643,-2.6989,0.074258
4.1215,-2.4787,0.078838
4.2644,-2.2463,0.083692
4.392,-2.0024,0.088806
4.5038,-1.7479,0.094156
4.599,-1.4837,0.099708
4.6771,-1.2107,0.10541
4.7375,-0.92988,0.1112
4.7797,-0.64229,0.117
4.8035,-0.34899,0.12271
4.8084,-0.051076,0.12821
4.7943,0.25031,0.13338
4.7609,0.55401,0.13808
4.7083,0.85885,0.14214
4.6363,1.1636,0.14543
4.5452,1.4671,0.14778
4.4351,1.7681,0.14908
4.3062,2.0654,0.14921
4.1589,2.3577,0.1481
3.9936,2.6439,0.14571
3.8108,2.9228,0.14207
3.6111,3.1932,0.13723
3.3951,3.4539,0.13131
3.1636,3.7039,0.12448
2.9173,3.9419,0.11693
2.6569,4.1671,0.1089
2.3834,4.3783,0.1006
2.0977,4.5745,0.092265
1.8007,4.755,0.084111
1.4934,4.9187,0.076312
1.1769,5.0648,0.06901
0.85229,5.1926,0.062304
0.52063,5.3014,0.056251
0.18313,5.3906,0.050868
-0.15901,5.4594,0.046144
-0.50456,5.5076,0.042041
-0.85223,5.5345,0.038503
-1.2007,5.5399,0.03547
-1.5487,5.5234,0.032874
-1.8949,5.4849,0.030652
-2.2378,5.4242,0.028747
-2.5761,5.3414,0.027106
-2.9085,5.2364,0.025686
-3.2336,5.1094,0.02445
-3.5501,4.9606,0.023369
-3.8564,4.7903,0.022419
-4.1515,4.599,0.02158
-4.4339,4.3871,0.020837
-4.7025,4.1552,0.020179
-4.9558,3.9039,0.019594
-5.1929,3.634,0.019076
-5.4126,3.3464,0.018617
-5.6137,3.0419,0.018212
-5.7953,2.7215,0.017858
-5.9564,2.3863,0.01755
-6.096,2.0374,0.017285
-6.2135,1.676,0.017061
-6.3081,1.3033,0.016876
-6.379,0.92075,0.016728
-6.4257,0.52966,0.016617
-6.4478,0.13145,0.016541
-6.4448,-0.27238,0.016499
-6.4164,-0.68033,0.016492
-6.3624,-1.0908,0.01652
-6.2827,-1.5023,0.016583
-6.1774,-1.9132,0.016681
-6.0464,-2.3219,0.016816
-5.89,-2.7266,0.016989
-5.7085,-3.1259,0.017202
-5.5022,-3.518,0.017457
-5.2718,-3.9013,0.017757
-5.0176,-4.2742,0.018104
-4.7406,-4.6351,0.018503
-4.4414,-4.9825,0.018957
-4.121,-5.3148,0.019472
-3.7804,-5.6305,0.020053
